ID,SKU,Imagem,Produto,Modelo,Categorias,Pontos,Preço,Quantidade,Produto Destacado,Situação,Etiquetas
348,348,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/6977-nude-reto.png,BASIC NUDE,P.000465,,,"R$399,00",0,Sim,Habilitado,
349,349,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/3966-basic-preto01.png,BASIC PRETO,P.000466,,,"R$399,00",63,Sim,Habilitado,
350,350,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/1176-balance-novo-black.png,SPORT BALANCE BLACK,P.000494,,,"R$519,00",0,Sim,Habilitado,
351,351,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/2173-balance-laranja-2.png,SPORT BALANCE LARANJA,P.000495,,,"R$519,00",148,Sim,Habilitado,
354,354,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/4999-caaa.jpeg,CASUALL ULTRA BLACK,P.000584,,,"R$489,00",83,Sim,Habilitado,
357,357,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/1911-essence-01-1.jpg,ALL ESSENCE PRETO,P.000597,,,"R$499,00",98,Sim,Habilitado,
360,360,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/NEW-CLASSIC/7470-cinza-3.png,NEW CLASSIC  LAMINADO,P.000609,,,"R$489,00",268,Sim,Habilitado,
358,358,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/NEW-CLASSIC/2438-areia-1.png,NEW CLASSIC  AREIA,P.000610,,,"R$489,00",173,Sim,Habilitado,
359,359,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/NEW-CLASSIC/8972-brisa-3.png,NEW CLASSIC BRISA,P.000611,,,"R$489,00",134,Sim,Habilitado,
355,355,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/3610-meias-brancas-alta.png,MEIA CANO LONGO COMPRESSAO FIO EMANA - ALL IN  BRANCO,P.000618,,,"R$129,00",15,Sim,Habilitado,
356,356,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/2216-meias-preta.png,MEIA CANO LONGO COMPRESSAO FIO EMANA - ALL IN PRETO / 3843,P.000619,,,"R$129,00",20,Sim,Habilitado,
362,362,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/LANcAMENTO-2026/9226-foto-site-1.jpg,SPORT BALANCE NEON,P.000630,,,"R$519,00",252,Sim,Habilitado,
361,361,https://s3-sa-east-1.amazonaws.com/public-http-files/UploadArquivo/Arquivos/all_in_esp_br/catalog/Tenis-Masculinos/4976-foto-site-1.png,CLOUD CHINELO BRANCO OFF FEMININO	,P.000657,,,"R$199,00",157,Sim,Habilitado,
